time,Unix_1h,Open_1h,High_1h,Low_1h,Close_1h,Volume BTC_1h,Volume USDT_1h,tradecount_1h,Unix_d,Open_d,High_d,Low_d,Close_d,Volume BTC_d,Volume USDT_d,tradecount_d,sma_20,sma_50,rsi,macd,signal_line,target
2024-10-19,1.0,0.9335415247954515,0.932955858813626,0.9359829304671105,0.9352484612323325,0.004621187620676891,0.015442501626860436,0.05799863077447222,1.0,0.9335415247954515,0.9278907241792611,0.9514960744383345,0.9328250962066952,0.01047442149336236,0.03198810305290955,0.07556941408156236,1.0,0.9999999999999999,0.4644430540025558,0.045317305947703335,0.0,1
2024-10-18,0.9996181748759065,0.9191433165546697,0.9183311992927072,0.9200266467223294,0.9191663158777613,0.009343540447581195,0.030632909522713442,0.11821983485463532,0.9996181748759065,0.9191433165546697,0.9322416153076929,0.9395625654679886,0.9335405738044478,0.037473214031470095,0.1121576447687256,0.2633664786949142,0.9938078448347152,0.9916639473965106,0.4056762211283358,0.06280675007947129,0.021319260086218317,1
2024-10-17,0.9992363497518131,0.9219797153556036,0.9252269908197175,0.92559562205328,0.9262836324697392,0.006517994829862931,0.021546218860777365,0.09735365461769696,0.9992363497518131,0.9219797153556036,0.9171977503705647,0.931880307039302,0.9191420164362376,0.03300574788578869,0.09740921344407258,0.2614606795311559,0.9912303619408496,0.9841387623544874,0.3293868420484743,0.08493585891522959,0.04297337313142835,1
2024-10-16,0.9988545246277205,0.9141688150959033,0.9137832337034689,0.9138009851299563,0.9142778193554186,0.01175262706647062,0.03825982352837291,0.1728330178955842,0.9988545246277205,0.9141688150959033,0.9240714604860959,0.9331134440836059,0.921978598920287,0.039067765916462965,0.11586946841609277,0.3355486302343616,0.9903504378032875,0.9762151600947563,0.30136820572091017,0.0999892705585762,0.06342495036610118,1
2024-10-15,0.998472699503627,0.9000005580645405,0.9022176675688922,0.9008344843181134,0.9007194870740931,0.017254955050953553,0.05539311129101646,0.21043190789862573,0.998472699503627,0.9000005580645405,0.9173481039141567,0.90464606164576,0.9141674437945841,0.05714286113433559,0.16565445818899663,0.4101758861647482,0.9882327540167033,0.9686964229778562,0.33755465405445206,0.10847841193922858,0.08155036167296009,1
2024-10-14,0.9980908743795336,0.8540106023677103,0.8531570838806638,0.8520084025959433,0.8517482069552571,0.007437188062200931,0.02270311917714857,0.15223659873201548,0.9980908743795336,0.8540106023677103,0.8967808738945114,0.8704615003347378,0.8999988409262918,0.04923466667787701,0.1402353663014748,0.32686955422602704,0.983178663299658,0.9603033149368086,0.30316004151799875,0.09236026575383571,0.09270113879475289,0
2024-10-13,0.997709049255441,0.8588215479880413,0.8586941043863257,0.8603005212402303,0.8613713842711856,0.005847925438340705,0.018035697558495517,0.06749722984395773,0.997709049255441,0.8588215479880413,0.8511885731306871,0.8645094868652442,0.8540083702293206,0.015360238336618847,0.042691963634213244,0.14718558748333602,0.9782492734132775,0.9516674527276623,0.36167603366790585,0.08919232266727728,0.10096342238446154,0
2024-10-12,0.9973272241313476,0.8492880885130427,0.8536084349028016,0.8526145192743377,0.8563414232364006,0.011306155610580619,0.03450009318669554,0.11766634101883705,0.9973272241313476,0.8492880885130427,0.8539442982673882,0.8708908871478923,0.8588192415966084,0.014048011332046589,0.03928010255283884,0.11619692123660344,0.9726667912812275,0.9432196873627806,0.35965241020257344,0.0881927442046021,0.10736552437744734,0
2024-10-11,0.9969453990072541,0.8176130606563211,0.816865573740492,0.8188712466810119,0.8183400338681841,0.010595873076771041,0.031080565594120153,0.09326962243122436,0.9969453990072541,0.8176130606563211,0.8530586307898526,0.8358687150548534,0.8492859318931152,0.030787566461503775,0.08367007353631872,0.21154554668823627,0.9635536436148608,0.9339464640200218,0.23295697531777634,0.07087110444794209,0.10888755306503695,0
2024-10-10,0.9965635738831615,0.8220433776412729,0.8216335675917099,0.8217986796166938,0.8218385876987343,0.0159120141765124,0.04681985162178225,0.19355088327943487,0.9965635738831615,0.8220433776412729,0.823330047304629,0.8192064050150979,0.8176101645898975,0.03121699774031617,0.08271869460314457,0.254274563845356,0.9545315362326325,0.9251109153444497,0.25642055041812445,0.0636555429438248,0.10860569228796918,0
