time,open,high,low,close
1578038400,6964.3636923,7354.8840307,6963.052383,7324.629253
1578052800,7325.0899629,7334.501608,7246.2168827,7262.7070988
1578067200,7262.7070988,7388.40362,7261.145702,7314.9038502
1578081600,7314.9038502,7333.616646,7268.8246336,7330.6369927
1578096000,7317.9628512,7319.9458085,7288.100128,7291.432264
1578110400,7334.5089788,7336.2839021,7332.9312692,7336.2839021
1578124800,7334.5089788,7350.2114573,7294.9937944,7298.3290822
1578139200,7330.9833036,7365.5897995,7273.0634576,7288.3521316
1578153600,7286.5888048,7465.9731,7282.4446444,7293.8539623
1578168000,7320.9752952,7346.5844898,7306.394,7330.0231982
1578182400,7353.598948,7476.3294872,7326.6734264,7452.6035398
1578196800,7441.461898,7465.9619401,7427.535128,7465.9619401
1578211200,7443.2693644,7445.0706073,7387.82404,7427.4044856
1578225600,7429.6798948,7459.3217996,7419.5706008,7459.3217996
1578240000,7457.5171088,7468.20508,7362.168,7468.20508
1578254400,7410.9804276,7443.1176248,7345.121694,7353.45578
1578268800,7353.6422895,7537.718752,7271.38728,7507.4707854
1578283200,7507.5380217,7535.126011,7481.596186,7504.0628228
1578297600,7504.0628228,7597.329,7502.920212,7562.16
1578312000,7562.0925,7562.9025,7429.40502,7450.5894374
1578326400,7450.6560283,7516.367913,7271.55,7384.7259528
1578340800,7384.8579266,7781.359,7297.184,7740.5983495
1578355200,7740.667491,7986.2586732,7739.008095,7915.1050216
1578369600,7914.9635832,7915.953652,7854.5354,7858.372502
1578384000,7858.3021747,7949.973896,7791.405272,7916.5206013
1578398400,7916.5206013,7929.6386,7684.53,7759.790016
1578412800,7760.416884,8114.38326,7758.53628,8041.699848
1578427200,8042.2049799,8194.2276595,7945.7133077,8159.82024
1578441600,8159.893396,8428.9263408,8157.62556,8307.053712
1578456000,8307.128184,8352.5757072,8288.857838,8290.344762
1578470400,8290.344762,8367.239152,8253.5477728,8270.9625907
1578484800,8323.1456,8398.2641652,8197.994224,8303.0879412
1578499200,8302.9386024,8303.3866188,7949.03835,7955.6192
1578513600,7969.6082008,8091.689352,7864.272171,8044.6724459
1578528000,8044.8172293,8045.9031048,7964.0421,7968.304039
1578542400,7968.519106,7968.94924,7900.598429,7956.0271691
1578556800,7956.6714224,7957.8167616,7853.968601,7856.091104
1578571200,7855.383603,7954.1217084,7848.547798,7892.9647614
1578585600,7892.9647614,7946.6321025,7752.615416,7944.9152265
1578600000,7944.84369,7976.984415,7756.044064,7810.2008588
1578614400,7810.2711627,7843.054707,7774.865915,7802.4516291
1578628800,7802.4516291,7802.5921113,7713.66626,7724.7794
1578643200,7724.98805,7818.4712896,7680.970688,7809.2608
1578657600,7809.2608,8063.7762625,7807.36,8061.0198375
1578672000,8044.2781,8114.02752,7966.953582,8048.9914
1578686400,8048.84666,8173.8615,8035.3058618,8169.5985
1578700800,8170.26,8228.1537338,8158.8724285,8175.7006899
1578715200,8092.314608,8103.2215432,8047.0211772,8098.9953848
1578729600,8070.93854,8134.2488542,7968.0595068,8026.3026308
1578744000,8034.933816,8100.7860661,8030.9709728,8053.5457409
1578758400,8097.216764,8226.4522361,8096.5611779,8156.5049122
1578772800,8163.657096,8271.836629,8030.9598577,8030.9598577
1578787200,8018.35986,8092.3119403,7970.8049365,8088.0914717
1578801600,8088.746372,8129.822736,8030.9598577,8125.582704
1578816000,8103.50842,8132.2026086,8080.121945,8088.4471549
1578830400,8099.795676,8148.8283541,8080.5998943,8129.58414
1578844800,8118.314932,8177.1644073,8059.7257365,8110.1771754
1578859200,8118.048148,8173.9291005,8109.4475214,8173.561452
1578873600,8173.7820411,8175.5467539,8109.396,8113.1868
1578888000,8113.1868,8114.2074,8058.73072,8060.542485
1578902400,8060.6149556,8117.965,8059.455426,8085.942228
1578916800,8070.6964338,8115.618192,8061.21708,8090.751888
1578931200,8087.690313,8134.523745,8084.575544,8112.08385
1578945600,8118.9286473,8166.2665216,8093.78653,8134.8754602
1578960000,8134.9485216,8445.455328,8116.050432,8443.7113392
1578974400,8443.6355136,8550.9930345,8432.179024,8542.3111488
1578988800,8542.1578176,8549.96521,8459.468655,8530.2730503
1579003200,8530.2730503,8835.63,8387.396964,8726.9001545
1579017600,8683.178962,8848.0190496,8547.658441,8747.750595
1579032000,8748.143664,8869.561272,8676.566596,8784.31556
1579046400,8785.79658,8892.5734618,8724.642042,8740.4563999
1579060800,8740.6134597,8740.7705195,8576.47749,8600.6871426
1579075200,8625.6673536,8791.0277676,8593.808386,8739.8752
1579089600,8740.032,8889.0889725,8655.682236,8741.1386531
1579104000,8741.2954153,8816.15448,8689.799112,8709.9343125
1579118400,8740.9327025,8843.0403,8737.40513,8789.439147
1579132800,8817.4980822,8833.9235605,8600.490961,8616.5346352
1579147200,8610.9670704,8709.890738,8598.677399,8666.623875
1579161600,8666.70162,8704.8,8583.6151,8703.942
1579176000,8698.2955966,8770.648,8618.12862,8684.4764489
1579190400,8684.4764489,8728.2507456,8601.066342,8658.9883548
1579204800,8658.9883548,8738.9309838,8650.697256,8737.9894662
1579219200,8737.9894662,8801.517093,8702.087184,8757.180678
1579233600,8757.1020042,8967.444671,8755.607202,8909.04
1579248000,8909.04,8980.9094007,8889.2424,8894.20488
1579262400,8894.12484,8895.00528,8772.181042,8836.2117
1579276800,8836.2117,8958.3327429,8819.16724,8866.3504104
1579291200,8866.9099428,8928.820248,8849.57602,8908.8866
1579305600,8898.52125,8953.9293664,8896.75575,8914.4304
1579320000,8870.8,8872.48,8816.2248668,8843.0595188
1579334400,8818.2294215,8896.2360652,8813.6085,8832.6260872
1579348800,8865.1115995,8957.988526,8834.339881,8870.0910876
1579363200,8908.5009,8934.7648096,8857.9537,8892.2552
1579377600,8892.977,8945.456148,8876.6230292,8925.518
1579392000,8946.1241805,9173.5121558,8944.3492359,9171.0307268
1579406400,9117.763072,9119.4898432,9040.7335281,9041.7936612
1579420800,9052.4407185,9108.6432364,8552.9030692,8642.839638
1579435200,8671.096115,8672.738294,8534.4332934,8626.1638876
1579449600,8626.8640885,8673.3815488,8623.0239167,8657.1093792
1579464000,8637.9525885,8793.4717002,8509.177417,8695.9911395
1579478400,8695.3640907,8716.6082164,8633.158716,8665.063584
1579492800,8661.0375102,8681.681363,8557.24596,8640.540608
1579507200,8647.563647,8654.7885696,8450.62227,8633.764874
1579521600,8633.686992,8647.782391,8035.83998,8644.506
1579536000,8644.506,8692.1095877,8569.291892,8631.8715076
1579550400,8642.1978803,8771.379516,8524.86752,8631.5453446
1579564800,8631.3119797,8701.315921,8373.705,8680.729214
1579579200,8655.5499837,8700.1765825,8569.996987,8579.295666
1579593600,8624.3519884,8692.1023528,8538.1828056,8643.8433717
1579608000,8638.835133,8694.8414784,8553.9993,8586.700794
1579622400,8634.9540284,8672.8303546,8469.433,8498.3727144
1579636800,8498.3727144,8777.563692,8496.993954,8750.0680254
1579651200,8740.2909672,8778.528,8687.371992,8691.685873
1579665600,8708.6274505,8775.36,8681.490636,8709.4035688
1579680000,8709.4035688,8709.560696,8604.78513,8612.58138
1579694400,8612.50364,8666.008305,8599.776066,8627.5808
1579708800,8627.7366,8680.7295,8574.610818,8655.7852128
1579723200,8634.689005,8656.799712,8616.7746,8643.661257
1579737600,8643.661257,8646.777297,8555.429561,8556.8193068
1579752000,8556.8193068,8642.921846,8479.691514,8545.0381116
1579766400,8545.0381116,8560.3380205,8255.345,8415.84612
1579780800,8393.249943,8437.96954,8228.979782,8314.6535303
1579795200,8323.1637244,8352.3192274,8284.5,8321.2600952
1579809600,8321.3353653,8412.8131632,8301.289332,8311.22418
1579824000,8311.29936,8365.0462992,8273.140128,8328.5538752
1579838400,8328.5538752,8329.759776,8300.80224,8318.701062
1579852800,8320.320002,8378.412812,8199.01814,8357.6978274
1579867200,8358.000777,8482.2357046,8356.107342,8467.5200964
1579881600,8488.7330486,8500.3448776,8406.964368,8480.27499
1579896000,8480.50566,8493.3029583,8358.72576,8377.8947364
1579910400,8375.9188716,8379.3386376,8239.0178304,8293.5588414
1579924800,8272.6565643,8335.2338376,8271.9810432,8318.1871276
1579939200,8295.8241777,8367.0554508,8273.534976,8310.9000653
1579953600,8274.320841,8335.8072,8273.5019136,8286.1064146
1579968000,8299.1637528,8350.5382032,8283.4757376,8349.0992648
1579982400,8327.1698925,8398.932195,8271.3528576,8349.0992648
1579996800,8303.7928668,8325.1779432,8271.1104,8296.4913052
1580011200,8335.7998836,8350.6594914,8298.6844416,8301.3199486
1580025600,8372.0171898,8490.174,8346.4485888,8442.3979157
1580040000,8412.532959,8458.4405964,8411.07456,8420.580826
1580054400,8421.1849935,8569.4744304,8420.497344,8538.6621033
1580068800,8541.8175,8596.763925,8522.38464,8591.1472746
1580083200,8577.7996415,8675.812181,8571.209225,8627.350464
1580097600,8627.898123,8660.1671856,8600.329504,8650.5955855
1580112000,8650.6739814,8709.513,8552.101075,8709.355
1580126400,8713.937449,8779.7338497,8639.164842,8767.191888
1580140800,8760.8071625,8957.5648529,8704.21516,8881.1838185
1580155200,8896.4223747,8968.346418,8861.149372,8876.1061896
